User ID,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20
85,shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
29,burgers,meatballs,eggs,,,,,,,,,,,,,,,,,
30,chutney,,,,,,,,,,,,,,,,,,,
44,turkey,avocado,,,,,,,,,,,,,,,,,,
91,mineral water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,
54,low fat yogurt,,,,,,,,,,,,,,,,,,,
22,whole wheat pasta,french fries,,,,,,,,,,,,,,,,,,
39,soup,light cream,shallot,,,,,,,,,,,,,,,,,
55,frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,
92,french fries,,,,,,,,,,,,,,,,,,,
36,eggs,pet food,,,,,,,,,,,,,,,,,,
87,cookies,,,,,,,,,,,,,,,,,,,
63,turkey,burgers,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,
98,spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,
61,mineral water,salmon,,,,,,,,,,,,,,,,,,
53,mineral water,,,,,,,,,,,,,,,,,,,
28,shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,
44,turkey,eggs,,,,,,,,,,,,,,,,,,
22,turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,
86,meatballs,milk,honey,french fries,protein bar,,,,,,,,,,,,,,,
6,red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
53,rice,sparkling water,,,,,,,,,,,,,,,,,,
19,spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,
98,burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,
16,eggs,,,,,,,,,,,,,,,,,,,
97,parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,
2,ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,
75,sparkling water,,,,,,,,,,,,,,,,,,,
13,mineral water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,
51,frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,
62,herb & pepper,tomato sauce,light cream,magazines,,,,,,,,,,,,,,,,
35,mineral water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,
71,turkey,french fries,strawberries,,,,,,,,,,,,,,,,,
78,frozen vegetables,strong cheese,chocolate,,,,,,,,,,,,,,,,,
33,cookies,,,,,,,,,,,,,,,,,,,
66,pickles,spaghetti,salmon,escalope,,,,,,,,,,,,,,,,
11,energy bar,french fries,,,,,,,,,,,,,,,,,,
20,red wine,ground beef,mineral water,,,,,,,,,,,,,,,,,
92,mineral water,cake,cottage cheese,,,,,,,,,,,,,,,,,
66,pickles,champagne,green tea,,,,,,,,,,,,,,,,,
84,spaghetti,,,,,,,,,,,,,,,,,,,
47,fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope,,,,,,,,,,,,
84,spaghetti,,,,,,,,,,,,,,,,,,,
63,soup,meatballs,hot dogs,sparkling water,,,,,,,,,,,,,,,,
80,escalope,,,,,,,,,,,,,,,,,,,
58,soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea,,,,,,,,,,,,
21,mineral water,chicken,cereals,clothes accessories,,,,,,,,,,,,,,,,
90,mineral water,bug spray,,,,,,,,,,,,,,,,,,
87,avocado,muffins,,,,,,,,,,,,,,,,,,
47,burgers,black tea,green tea,,,,,,,,,,,,,,,,,
92,spaghetti,chocolate,brownies,white wine,green tea,,,,,,,,,,,,,,,
11,fresh tuna,mineral water,eggs,,,,,,,,,,,,,,,,,
5,spaghetti,muffins,,,,,,,,,,,,,,,,,,
85,spaghetti,chocolate,,,,,,,,,,,,,,,,,,
27,french fries,escalope,champagne,,,,,,,,,,,,,,,,,
21,tomato sauce,light mayo,,,,,,,,,,,,,,,,,,
99,turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil,,,,,,,,,
91,eggs,cookies,,,,,,,,,,,,,,,,,,
90,soup,chicken,gums,soda,body spray,energy drink,green tea,,,,,,,,,,,,,
68,turkey,frozen vegetables,mineral water,cider,cooking oil,green tea,,,,,,,,,,,,,,
87,spaghetti,,,,,,,,,,,,,,,,,,,
12,clothes accessories,,,,,,,,,,,,,,,,,,,
27,energy drink,,,,,,,,,,,,,,,,,,,
100,soup,bug spray,shallot,protein bar,green tea,,,,,,,,,,,,,,,
66,turkey,eggs,,,,,,,,,,,,,,,,,,
95,french fries,,,,,,,,,,,,,,,,,,,
2,chocolate,milk,,,,,,,,,,,,,,,,,,
42,herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice,,,,,,,,,,,,,
68,cookies,,,,,,,,,,,,,,,,,,,
57,shrimp,pasta,,,,,,,,,,,,,,,,,,
71,grated cheese,herb & pepper,tomatoes,tomato sauce,corn,,,,,,,,,,,,,,,
1,burgers,escalope,shallot,,,,,,,,,,,,,,,,,
22,cookies,,,,,,,,,,,,,,,,,,,
41,yogurt cake,,,,,,,,,,,,,,,,,,,
26,soup,eggs,,,,,,,,,,,,,,,,,,
16,cookies,,,,,,,,,,,,,,,,,,,
45,mineral water,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,
93,eggs,strawberries,,,,,,,,,,,,,,,,,,
6,grated cheese,ground beef,spaghetti,mineral water,white wine,,,,,,,,,,,,,,,
92,mint,,,,,,,,,,,,,,,,,,,
55,eggs,cake,french fries,,,,,,,,,,,,,,,,,
45,burgers,spaghetti,milk,french fries,green tea,,,,,,,,,,,,,,,
44,mineral water,energy bar,butter,french fries,,,,,,,,,,,,,,,,
49,burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil,,,,,,,,,,,,,,
29,energy bar,,,,,,,,,,,,,,,,,,,
34,energy bar,energy drink,,,,,,,,,,,,,,,,,,
45,chocolate,frozen smoothie,,,,,,,,,,,,,,,,,,
97,low fat yogurt,,,,,,,,,,,,,,,,,,,
72,asparagus,salad,,,,,,,,,,,,,,,,,,
13,burgers,french fries,low fat yogurt,green tea,,,,,,,,,,,,,,,,
43,low fat yogurt,,,,,,,,,,,,,,,,,,,
14,burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt,,,,,,,,
50,champagne,low fat yogurt,,,,,,,,,,,,,,,,,,
32,champagne,,,,,,,,,,,,,,,,,,,
66,burgers,almonds,eggs,french fries,cookies,green tea,,,,,,,,,,,,,,
86,ham,soup,escalope,body spray,,,,,,,,,,,,,,,,
49,turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines,,,,,,,,,,,,
